Register Number,Guideline Title (German),Guideline Title (English),Class,Valid From,Valid Until
009-019,Rekonstruktive und Ästhetische Operationen des weiblichen Genitales,Reconstructive and aesthetic surgery of the female genitalia,S2k,01.06.2022,31.05.2027
013-105,Lichen sclerosus,Lichen sclerosus,S3,16.06.2025,15.06.2030
015-006,Diagnostik und Therapie des Descensus genitalis der Frau,Diagnosis and treatment of female genital prolapse,S3,01.01.2026,31.12.2029
015-015,Hormonelle Empfängnisverhütung,Hormonal contraception,S3,01.08.2019,31.07.2024
015-018,Hypertensive Erkrankungen in der Schwangerschaft (HES): Diagnostik und Therapie,Hypertensive disorders in pregnancy (HES): Diagnosis and therapy,S2k,17.07.2024,16.07.2029
015-023,Vaginal-operative Geburt,Operative vaginal delivery,S2k,01.11.2023,31.10.2028
015-025,Prävention und Therapie der Frühgeburt,Prevention and therapy of premature birth,S2k,01.10.2022,30.09.2026
015-027OL,Prävention des Zervixkarzinoms,Prevention of cervical cancer,S3,31.12.2017,30.12.2022
015-028,Bakterielle Vaginose,Bacterial Vaginosis,S2k,01.06.2023,31.05.2027
015-045,Diagnostik und Therapie der Endometriose,Diagnosis and treatment of endometriosis,S2k,01.04.2025,31.03.2030
015-050,Diagnostik und Therapie von Frauen mit wiederholten Spontanaborten,Diagnosis and treatment of women with recurrent spontaneous abortions,S2k,01.05.2022,30.04.2025
015-052,Weibliche genitale Fehlbildungen,Female genital malformations,S2k,01.04.2020,01.03.2025
015-059,"Vulvakarzinom und seine Vorstufen, Diagnostik und Therapie","Vulvar carcinoma and its precursors, diagnosis and therapy",S2k,01.11.2015,31.10.2020
015-062,Peri- und Postmenopause – Diagnostik und Interventionen,Peri- and postmenopause – diagnostics and interventions,S3,01.01.2020,31.12.2024
015-062 KF,Konsultationsfassung: Peri- und Postmenopause – Diagnostik und Interventionen,Consultation version: Peri- and postmenopause – diagnostics and interventions,S3,09.06.2026,01.10.2026
015-063,"Peripartale Blutungen, Diagnostik und Therapie",Peripartum hemorrhage: diagnosis and treatment,S2k,01.08.2022,31.07.2027
015-072,Vulvovaginalkandidose,Vulvovaginal candidosis,S2k,01.09.2020,31.08.2025
015-074,Uterine Sarkome,Uterine Sarcomas,S2k,01.07.2024,30.06.2027
015-076,Früher Schwangerschaftsverlust im 1. Trimenon,Early pregnancy loss in the first trimester,S2k,01.09.2024,31.08.2029
